sample-id	lakeID	monthID	year	sample_name	season	season_year	month_code	column	sample_code	lake_month	day_number	month_number	lake_season
BOI-N-W2-ADN	BLR	Aug.	2022	BOI-N-W2	summer	summer_2022	N	W2	BLR_N_W2	BLR_N	429	14	BLR_summer_2022
BOI-N-W3-ADN	BLR	Aug.	2022	BOI-N-W3	summer	summer_2022	N	W3	BLR_N_W3	BLR_N	429	14	BLR_summer_2022
BOI-O-W1-ADN	BLR	Sep.	2022	BOI-O-W1	fall	fall_2022	O	W1	BLR_O_W1	BLR_O	464	15	BLR_fall_2022
BOI-O-W2-ADN	BLR	Sep.	2022	BOI-O-W2	fall	fall_2022	O	W2	BLR_O_W2	BLR_O	464	15	BLR_fall_2022
BOI-O-W3-ADN	BLR	Sep.	2022	BOI-O-W3	fall	fall_2022	O	W3	BLR_O_W3	BLR_O	464	15	BLR_fall_2022
BOI-P-W1-ADN	BLR	Oct.	2022	BOI-P-W1	fall	fall_2022	P	W1	BLR_P_W1	BLR_P	492	16	BLR_fall_2022
BOI-P-W2-ADN	BLR	Oct.	2022	BOI-P-W2	fall	fall_2022	P	W2	BLR_P_W2	BLR_P	492	16	BLR_fall_2022
BOI-P-W3-ADN	BLR	Oct.	2022	BOI-P-W3	fall	fall_2022	P	W3	BLR_P_W3	BLR_P	492	16	BLR_fall_2022
BOI-Q-W1-ADN	BLR	Nov.	2022	BOI-Q-W1	fall	fall_2022	Q	W1	BLR_Q_W1	BLR_Q	521	17	BLR_fall_2022
BOI-Q-W2-ADN	BLR	Nov.	2022	BOI-Q-W2	fall	fall_2022	Q	W2	BLR_Q_W2	BLR_Q	521	17	BLR_fall_2022
BOI-Q-W3-ADN	BLR	Nov.	2022	BOI-Q-W3	fall	fall_2022	Q	W3	BLR_Q_W3	BLR_Q	521	17	BLR_fall_2022
BOI-R-W1-ADN	BLR	Dec.	2022	BOI-R-W1	winter	winter_2022	R	W1	BLR_R_W1	BLR_R	543	18	BLR_winter_2022
BOI-R-W2-ADN	BLR	Dec.	2022	BOI-R-W2	winter	winter_2022	R	W2	BLR_R_W2	BLR_R	543	18	BLR_winter_2022
BOI-R-W3-ADN	BLR	Dec.	2022	BOI-R-W3	winter	winter_2022	R	W3	BLR_R_W3	BLR_R	543	18	BLR_winter_2022
CHA-A-W1-ADN	CSM	Jun.	2021	CHA-A-W1	summer	summer_2021	A	W1	CSM_A_W1	CSM_A	1	1	CSM_summer_2021
CHA-A-W2-ADN	CSM	Jun.	2021	CHA-A-W2	summer	summer_2021	A	W2	CSM_A_W2	CSM_A	1	1	CSM_summer_2021
CHA-A-W3-ADN	CSM	Jun.	2021	CHA-A-W3	summer	summer_2021	A	W3	CSM_A_W3	CSM_A	1	1	CSM_summer_2021
CHA-B-W1-ADN	CSM	Jul.	2021	CHA-B-W1	summer	summer_2021	B	W1	CSM_B_W1	CSM_B	30	2	CSM_summer_2021
CHA-B-W2-ADN	CSM	Jul.	2021	CHA-B-W2	summer	summer_2021	B	W2	CSM_B_W2	CSM_B	30	2	CSM_summer_2021
CHA-B-W3-ADN	CSM	Jul.	2021	CHA-B-W3	summer	summer_2021	B	W3	CSM_B_W3	CSM_B	30	2	CSM_summer_2021
CHA-C-W1-ADN	CSM	Aug.	2021	CHA-C-W1	summer	summer_2021	C	W1	CSM_C_W1	CSM_C	65	3	CSM_summer_2021
CHA-C-W2-ADN	CSM	Aug.	2021	CHA-C-W2	summer	summer_2021	C	W2	CSM_C_W2	CSM_C	65	3	CSM_summer_2021
CHA-C-W3-ADN	CSM	Aug.	2021	CHA-C-W3	summer	summer_2021	C	W3	CSM_C_W3	CSM_C	65	3	CSM_summer_2021
CHA-D-W1-ADN	CSM	Sep.	2021	CHA-D-W1	fall	fall_2021	D	W1	CSM_D_W1	CSM_D	100	4	CSM_fall_2021
CHA-D-W2-ADN	CSM	Sep.	2021	CHA-D-W2	fall	fall_2021	D	W2	CSM_D_W2	CSM_D	100	4	CSM_fall_2021
CHA-D-W3-ADN	CSM	Sep.	2021	CHA-D-W3	fall	fall_2021	D	W3	CSM_D_W3	CSM_D	100	4	CSM_fall_2021
CHA-E-W1-ADN	CSM	Oct.	2021	CHA-E-W1	fall	fall_2021	E	W1	CSM_E_W1	CSM_E	128	5	CSM_fall_2021
CHA-E-W2-ADN	CSM	Oct.	2021	CHA-E-W2	fall	fall_2021	E	W2	CSM_E_W2	CSM_E	128	5	CSM_fall_2021
CHA-E-W3-ADN	CSM	Oct.	2021	CHA-E-W3	fall	fall_2021	E	W3	CSM_E_W3	CSM_E	128	5	CSM_fall_2021
CHA-F-W1-ADN	CSM	Nov.	2021	CHA-F-W1	fall	fall_2021	F	W1	CSM_F_W1	CSM_F	157	6	CSM_fall_2021
CHA-F-W2-ADN	CSM	Nov.	2021	CHA-F-W2	fall	fall_2021	F	W2	CSM_F_W2	CSM_F	157	6	CSM_fall_2021
CHA-F-W3-ADN	CSM	Nov.	2021	CHA-F-W3	fall	fall_2021	F	W3	CSM_F_W3	CSM_F	157	6	CSM_fall_2021
CHA-G-W1-ADN	CSM	Jan.	2022	CHA-G-W1	winter	winter_2021	G	W1	CSM_G_W1	CSM_G	220	7	CSM_winter_2021
CHA-G-W2-ADN	CSM	Jan.	2022	CHA-G-W2	winter	winter_2021	G	W2	CSM_G_W2	CSM_G	220	7	CSM_winter_2021
CHA-G-W3-ADN	CSM	Jan.	2022	CHA-G-W3	winter	winter_2021	G	W3	CSM_G_W3	CSM_G	220	7	CSM_winter_2021
CHA-H-W1-ADN	CSM	Feb.	2022	CHA-H-W1	winter	winter_2021	H	W1	CSM_H_W1	CSM_H	248	8	CSM_winter_2021
CHA-H-W2-ADN	CSM	Feb.	2022	CHA-H-W2	winter	winter_2021	H	W2	CSM_H_W2	CSM_H	248	8	CSM_winter_2021
CHA-H-W3-ADN	CSM	Feb.	2022	CHA-H-W3	winter	winter_2021	H	W3	CSM_H_W3	CSM_H	248	8	CSM_winter_2021
CHA-I-W1-ADN	CSM	Mar.	2022	CHA-I-W1	spring	spring_2022	I	W1	CSM_I_W1	CSM_I	276	9	CSM_spring_2022
CHA-I-W2-ADN	CSM	Mar.	2022	CHA-I-W2	spring	spring_2022	I	W2	CSM_I_W2	CSM_I	276	9	CSM_spring_2022
CHA-I-W3-ADN	CSM	Mar.	2022	CHA-I-W3	spring	spring_2022	I	W3	CSM_I_W3	CSM_I	276	9	CSM_spring_2022
CHA-J-W1-ADN	CSM	Apr.	2022	CHA-J-W1	spring	spring_2022	J	W1	CSM_J_W1	CSM_J	311	10	CSM_spring_2022
CHA-J-W2-ADN	CSM	Apr.	2022	CHA-J-W2	spring	spring_2022	J	W2	CSM_J_W2	CSM_J	311	10	CSM_spring_2022
CHA-J-W3-ADN	CSM	Apr.	2022	CHA-J-W3	spring	spring_2022	J	W3	CSM_J_W3	CSM_J	311	10	CSM_spring_2022
CHA-K-W1-ADN	CSM	May	2022	CHA-K-W1	spring	spring_2022	K	W1	CSM_K_W1	CSM_K	337	11	CSM_spring_2022
CHA-K-W2-ADN	CSM	May	2022	CHA-K-W2	spring	spring_2022	K	W2	CSM_K_W2	CSM_K	337	11	CSM_spring_2022
CHA-K-W3-ADN	CSM	May	2022	CHA-K-W3	spring	spring_2022	K	W3	CSM_K_W3	CSM_K	337	11	CSM_spring_2022
CHA-L-W1-ADN	CSM	Jun.	2022	CHA-L-W1	summer	summer_2022	L	W1	CSM_L_W1	CSM_L	372	12	CSM_summer_2022
