QIIME_ID	Domain	Supergroup	Division	Subdivision	Class	Order	Family	Genus	Species	Sub_Species	Confidence	trophic_mode
08f2e0b4d9196231d9bd7d77a40af9b1	Eukaryota	Cryptista	Cryptophyta	Cryptophyta_X	Cryptophyceae	Pyrenomonadales	Pyrenomonadaceae	Rhodomonas	Rhodomonas_minuta		0.7317803	Heterotroph
140c4194fc6d7e5ada99407808bc5df4	Eukaryota	TSAR	Stramenopiles	Bigyra	Bicoecea	Pseudodendromonadales	Pseudodendromonadales_X	Pseudodendromonadales_XX	Pseudodendromonadales_XX_sp.		0.9963879	Mixotroph
349715b6c71e7afb34b1734ddc7c9b97	Eukaryota	TSAR	Stramenopiles	Gyrista	Chrysophyceae	Chromulinales	Chrysamoebaceae	Chrysamoeba	NA	NA	0.9235737	Phototroph
5a9129a04159bc73a1e0229e267f1fc6	Eukaryota	TSAR	Stramenopiles	Bigyra	Bicoecea	Pseudodendromonadales	Pseudodendromonadales_X	Siluania	Siluania_monomastiga		0.9999771	Mixotroph
0b73d450da56900e02029e6f8aa73c8a	Eukaryota	TSAR	Alveolata	Ciliophora	Oligohymenophorea	Peritrichia_2	Sessilida	Vorticella	Vorticella_convallaria		0.9647324	Mixotroph
e5a9add041d8950e4375c07045488c44	Eukaryota	TSAR	Stramenopiles	Bigyra	Bicoecea	Pseudodendromonadales	Pseudodendromonadales_X	Pseudodendromonadales_XX	Pseudodendromonadales_XX_sp.		0.9999568	Mixotroph
987f140e81feeb313fc706d6c74c1c1a	Eukaryota	TSAR	Alveolata	Chrompodellids	Colpodellidea	Colpodellida	Colpodellida_CHR1	Colpodellida_CHR1_X	Colpodellida_CHR1_X_sp.		0.9999799	Mixotroph
e188133534e0ed570afd931f0aac5611	Eukaryota	Archaeplastida	Chlorophyta	Chlorophyta_X	Trebouxiophyceae	Chlorellales	Chlorellales_X	Oocystella	Oocystella_heteromucosa		0.8640565	Phototroph
6558600a86d0a8bdd70204571143984d	Eukaryota	TSAR	Alveolata	Ciliophora	Litostomatea	Haptoria_5	Pleurostomatida	NA	NA	NA	0.9998979	Mixotroph
b55a33371b61e40874f10a523450ddee	Eukaryota	TSAR	Alveolata	Chrompodellids	Colpodellidea	Colpodellida	Colpodellida_CHR1	Colpodellida_CHR1_X	Colpodellida_CHR1_X_sp.		0.9998311	Mixotroph
2748c55c9d49157e196fcd6240a5b596	Eukaryota	TSAR	Stramenopiles	Bigyra	Bicoecea	Pseudodendromonadales	Pseudodendromonadales_X	Pseudodendromonadales_XX	Pseudodendromonadales_XX_sp.		0.9998445	Mixotroph
48545e3b0e4c9e9e448ef408ebcb595b	Eukaryota	TSAR	Alveolata	Ciliophora	Spirotrichea	Choreotrichida	Strobilidiidae	Rimostrombidium	Rimostrombidium_sp.		0.9973202	Mixotroph
7abd49d0b1579af04dec4afc4fc93922	Eukaryota	TSAR	Alveolata	Perkinsea	Perkinsida	Perkinsida_X	Perkinsida_XX	Perkinsida_XXX	Perkinsida_XXX_sp.		0.9970571	Mixotroph
fc65580474f563b9ab39018e0b69a676	Eukaryota	TSAR	Stramenopiles	Bigyra	Bicoecea	Pseudodendromonadales	Pseudodendromonadales_X	Pseudodendromonadales_XX	Pseudodendromonadales_XX_sp.		0.9999321	Mixotroph
bb4677346698b77860a3249ec0ed1f7d	Eukaryota	TSAR	Stramenopiles	Gyrista	Chrysophyceae	Ochromonadales	Ochromonadaceae	Uroglenopsis	NA	NA	0.9951715	Phototroph
b182aa34e2230e3aa457e75823e864d5	Eukaryota	TSAR	Alveolata	Perkinsea	Perkinsida	Perkinsida_X	Perkinsida_XX	Perkinsida_XXX	Perkinsida_XXX_sp.		0.9997978	Mixotroph
c2e0a00b28890435e044defa3669197e	Eukaryota	Obazoa	Opisthokonta	Fungi	NA	NA	NA	NA	NA	NA	0.9914967	Mixotroph
3d2bad4fdf425261ed4d50dd33fb5c6f	Eukaryota	TSAR	Stramenopiles	Gyrista	Chrysophyceae	Chromulinales	NA	NA	NA	NA	0.9686085	Phototroph
6320279104f5206e4ee2c680947ddefd	Eukaryota	TSAR	Stramenopiles	Bigyra	Bicoecea	Pseudodendromonadales	Pseudodendromonadales_X	Pseudodendromonadales_XX	Pseudodendromonadales_XX_sp.		0.9998466	Mixotroph
d2fd7e08fb49f459c3a15d733a53eb07	Eukaryota	TSAR	Alveolata	Ciliophora	Oligohymenophorea	Oligohymenophorea_X	Conchophthiridae	Conchophthirus	Conchophthirus_sp.		0.9049435	Mixotroph
65e61d7698303b6ae9f3619ffbf84df3	Eukaryota	TSAR	Alveolata	Ciliophora	Prostomatea	Prostomatea_X	Prostomatea_XX	Hexasterias	Hexasterias_problematica		0.7914074	Mixotroph
4667176e3dc3fc7fd8e33c78f7bdcd05	Eukaryota	CRuMs	Rigifilida	Rigifilida_X	Rigifilida_XX	Rigifilida_XXX	Rigifilida_XXXX	Micronuclearia	Micronuclearia_podoventralis		0.9946750	NA
